Filtro almacén,Filtro zona,Nº producto,Descripción producto,Cód. unidad medida,Cantidad,Cantidad (base),Cant. a traer disponible,Cód. ubicación,ItemDescription,Cant. en ubicación ajuste
BOD-CINER1,,ANF0247,ANFORA M COBRE (PARVULO),UNIDAD,4.00,4.,4.00,UBIA01,ANFORA M COBRE (PARVULO),0.00
BOD-CINER1,,ANF0248,ANFORA XS COBRE (DE REPARTO),UNIDAD,2.00,2.,2.00,UBIA01,ANFORA XS COBRE (DE REPARTO),0.00
BOD-CINER1,,ANF0250,ANFORA SS-L-2 STAND,UNIDAD,3.00,3.,3.00,UBIA01,ANFORA SS-L-2 STAND,0.00
BOD-CINER1,,ANF0251,ANFORA MINI SS-M-15 CORAZON,UNIDAD,2.00,2.,2.00,UBIA01,ANFORA MINI SS-M-15 CORAZON,0.00
BOD-CINER1,,ANF0252,ANFORA MINI SS-M-2 CIEL,UNIDAD,2.00,2.,2.00,UBIA01,ANFORA MINI SS-M-2 CIEL,0.00
BOD-CINER1,,ANF0253,ANFORA MINI SS-M-5 AURA,UNIDAD,3.00,3.,3.00,UBIA01,ANFORA MINI SS-M-5 AURA,0.00
BOD-CINER1,,ANF0254,ANFORA MINI SS-M-9 ODISEA,UNIDAD,2.00,2.,2.00,UBIA01,ANFORA MINI SS-M-9 ODISEA,0.00
BOD-CINER1,,ANF0255,ANFORA MINI SS-M-12 OVO,UNIDAD,2.00,2.,2.00,UBIA01,ANFORA MINI SS-M-12 OVO,0.00
BOD-CINER1,,ANF0256,ANFORA MINI SS-M-14 ORBITA,UNIDAD,2.00,2.,2.00,UBIA01,ANFORA MINI SS-M-14 ORBITA,0.00
BOD-CINER1,,ANF0257,ANFORA ECO HIDRA GRIS,UNIDAD,39.00,39.,39.00,UBIA01,ANFORA ECO HIDRA GRIS,0.00
BOD-CINER1,,ANF0258,ANFORA A1071 CRESCENTSPHERE SAGE GREEN & BRU GOLD,UNIDAD,2.00,2.,2.00,UBIA01,ANFORA A1071 CRESCENTSPHERE SAGE GREEN & BRU GOLD,0.00
BOD-CINER1,,ANF0259,ANFORA A1051 TULIPORANGE & POLL SILVER,UNIDAD,5.00,5.,5.00,UBIA01,ANFORA A1051 TULIPORANGE & POLL SILVER,0.00
BOD-CINER1,,ANF0260,ANFORA M1051 TULIP MEDIUM ORANGE & POL SILVER,UNIDAD,3.00,3.,3.00,UBIA01,ANFORA M1051 TULIP MEDIUM ORANGE & POL SILVER,0.00
BOD-CINER1,,ANF0261,ANFORA K1051 TULIP KEEPSAKE URN ORANGE &POL SILVER,UNIDAD,3.00,3.,3.00,UBIA01,ANFORA K1051 TULIP KEEPSAKE URN ORANGE &POL SILVER,0.00
BOD-CINER1,,ANF0263,ANFORA A1072 CRESCENT TALL URN NAVY & POL SILVER,UNIDAD,4.00,4.,4.00,UBIA01,ANFORA A1072 CRESCENT TALL URN NAVY & POL SILVER,0.00
BOD-CINER1,,ANF0264,ANFORA K1072 CRESCENT KEEPSAKE URN NAVY @POL SILVER,UNIDAD,3.00,3.,3.00,UBIA01,ANFORA K1072 CRESCENT KEEPSAKE URN NAVY @POL SILVER,0.00
BOD-CINER1,,ANF0265,ANFORA A271 NIRVANA AZURE BLUE & BRU PEWTER W/SWAROVSKI,UNIDAD,4.00,4.,4.00,UBIA01,ANFORA A271 NIRVANA AZURE BLUE & BRU PEWTER W/SWAROVSKI,0.00
BOD-CINER1,,ANF0267,ANFORA A222 PRIDE RAINBOW POL SILVER,UNIDAD,4.00,4.,4.00,UBIA01,ANFORA A222 PRIDE RAINBOW POL SILVER,0.00
BOD-CINER1,,ANF0269,ANFORA M522 INFANTE SIMPLICITY PEARL WHITE & BRU GOLD,UNIDAD,2.00,2.,2.00,UBIA01,ANFORA M522 INFANTE SIMPLICITY PEARL WHITE & BRU GOLD,0.00
BOD-CINER1,,ANF0270,ANFORA K271 NIRVANA AZUFRE BLUE BRU PEWTER W/SWAROSKI,UNIDAD,1.00,1.,1.00,UBIA01,ANFORA K271 NIRVANA AZUFRE BLUE BRU PEWTER W/SWAROSKI,0.00
BOD-CINER1,,ANF0271,ANFORA K222 PRIDE RAINBOW POL SILVER,UNIDAD,3.00,3.,3.00,UBIA01,ANFORA K222 PRIDE RAINBOW POL SILVER,0.00
BOD-CINER1,,ANF0272,ANFORA K522 SIMPLICITY PEARL WHITE & BRU GOLD,UNIDAD,3.00,3.,3.00,UBIA01,ANFORA K522 SIMPLICITY PEARL WHITE & BRU GOLD,0.00
BOD-CINER1,,ANF0273,"ANFORA VIENA XL NFC (2,7 Kg) - VERDE",UNIDAD,1.00,1.,1.00,UBIA01,"ANFORA VIENA XL NFC (2,7 Kg) - VERDE",0.00
